"System Time Index";"BVP Data"
"1530209352571";"11.0"
"1530209352571";"10.0"
"1530209352592";"9.0"
"1530209352592";"8.0"
"1530209352592";"7.0"
"1530209352613";"6.0"
"1530209352613";"5.0"
"1530209352613";"4.0"
"1530209352613";"3.0"
"1530209352634";"2.0"
"1530209352635";"1.0"
"1530209352635";"0.0"
"1530209352635";"-1.0"
"1530209352635";"-2.0"
"1530209352656";"-3.0"
"1530209352656";"-4.0"
"1530209352656";"-5.0"
"1530209352656";"-6.0"
"1530209352677";"-7.0"
"1530209352677";"-8.0"
"1530209352698";"-9.0"
"1530209352699";"-10.0"
"1530209352699";"-11.0"
"1530209352741";"-10.0"
"1530209352743";"-9.0"
"1530209352764";"-8.0"
"1530209352764";"-7.0"
"1530209352785";"-6.0"
"1530209352806";"-5.0"
"1530209352852";"-4.0"
"1530209352852";"-3.0"
"1530209352873";"-2.0"
"1530209352873";"-1.0"
"1530209352873";"0.0"
"1530209352958";"-1.0"
"1530209352959";"-2.0"
"1530209352979";"-3.0"
"1530209352979";"-4.0"
"1530209352980";"-5.0"
"1530209353001";"-4.0"
"1530209353021";"-3.0"
"1530209353023";"-2.0"
"1530209353023";"-1.0"
"1530209353023";"0.0"
"1530209353044";"1.0"
"1530209353044";"3.0"
"1530209353044";"4.0"
"1530209353065";"5.0"
"1530209353065";"6.0"
"1530209353065";"8.0"
"1530209353065";"9.0"
"1530209353065";"10.0"
"1530209353065";"11.0"
"1530209353086";"12.0"
"1530209353086";"13.0"
"1530209353086";"14.0"
"1530209353087";"15.0"
"1530209353087";"16.0"
"1530209353088";"17.0"
"1530209353108";"18.0"
"1530209353109";"19.0"
"1530209353165";"20.0"
"1530209353186";"21.0"
"1530209353186";"20.0"
"1530209353189";"19.0"
"1530209353189";"18.0"
"1530209353189";"17.0"
"1530209353189";"16.0"
"1530209353190";"15.0"
"1530209353190";"14.0"
"1530209353211";"13.0"
"1530209353211";"12.0"
"1530209353211";"11.0"
"1530209353211";"10.0"
"1530209353211";"9.0"
"1530209353211";"8.0"
"1530209353211";"7.0"
"1530209353211";"6.0"
"1530209353234";"5.0"
"1530209353234";"4.0"
"1530209353255";"5.0"
"1530209353275";"6.0"
"1530209353296";"7.0"
"1530209353297";"8.0"
"1530209353318";"7.0"
"1530209353339";"6.0"
"1530209353339";"5.0"
"1530209353339";"4.0"
"1530209353361";"3.0"
"1530209353382";"4.0"
"1530209353403";"5.0"
"1530209353403";"6.0"
"1530209353424";"7.0"
"1530209353424";"8.0"
"1530209353445";"9.0"
"1530209353466";"10.0"
"1530209353466";"11.0"
"1530209353488";"10.0"
"1530209353509";"9.0"
"1530209353510";"8.0"
"1530209353530";"7.0"
"1530209353551";"6.0"
"1530209353552";"5.0"
"1530209353552";"4.0"
"1530209353552";"3.0"
"1530209353576";"2.0"
"1530209353576";"1.0"
"1530209353576";"0.0"
"1530209353576";"-1.0"
"1530209353576";"-2.0"
"1530209353576";"-3.0"
"1530209353597";"-4.0"
"1530209353597";"-5.0"
"1530209353597";"-6.0"
"1530209353597";"-7.0"
"1530209353597";"-8.0"
"1530209353618";"-9.0"
"1530209353620";"-10.0"
"1530209353641";"-11.0"
"1530209353641";"-12.0"
"1530209353642";"-13.0"
"1530209353662";"-14.0"
"1530209353662";"-15.0"
"1530209353683";"-16.0"
"1530209353683";"-17.0"
"1530209353684";"-18.0"
"1530209353685";"-19.0"
"1530209353705";"-20.0"
"1530209353726";"-19.0"
"1530209353747";"-18.0"
"1530209353747";"-17.0"
"1530209353747";"-16.0"
"1530209353768";"-15.0"
"1530209353768";"-14.0"
"1530209353769";"-13.0"
"1530209353769";"-12.0"
"1530209353789";"-11.0"
"1530209353790";"-10.0"
"1530209353790";"-9.0"
"1530209353790";"-8.0"
"1530209353811";"-7.0"
"1530209353811";"-6.0"
"1530209353811";"-5.0"
"1530209353832";"-4.0"
"1530209353852";"-3.0"
"1530209353853";"-2.0"
"1530209353873";"-1.0"
"1530209353895";"0.0"
"1530209353980";"-1.0"
"1530209353980";"-2.0"
"1530209353981";"-3.0"
"1530209354001";"-4.0"
"1530209354001";"-5.0"
"1530209354001";"-6.0"
"1530209354022";"-7.0"
"1530209354023";"-8.0"
"1530209354024";"-9.0"
"1530209354045";"-10.0"
"1530209354045";"-11.0"
"1530209354045";"-12.0"
"1530209354045";"-13.0"
"1530209354045";"-14.0"
"1530209354045";"-15.0"
"1530209354066";"-16.0"
"1530209354066";"-17.0"
"1530209354140";"-16.0"
"1530209354141";"-15.0"
"1530209354141";"-14.0"
"1530209354141";"-13.0"
"1530209354141";"-12.0"
"1530209354141";"-10.0"
"1530209354141";"-9.0"
"1530209354141";"-8.0"
"1530209354142";"-6.0"
"1530209354142";"-5.0"
"1530209354142";"-3.0"
"1530209354142";"-2.0"
"1530209354163";"0.0"
"1530209354163";"1.0"
"1530209354163";"2.0"
"1530209354163";"4.0"
"1530209354163";"5.0"
"1530209354164";"7.0"
